,Date,Time,Season,Type,Opponent,Rank,Ranked Match,Conf,Rest Days,SRS,Result,Points For,Points Against,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,FG_rolling_5,FGA_rolling_5,FG%_rolling_5,3P_rolling_5,3PA_rolling_5,3P%_rolling_5,FT_rolling_5,FTA_rolling_5,FT%_rolling_5,ORB_rolling_5,TRB_rolling_5,AST_rolling_5,STL_rolling_5,BLK_rolling_5,TOV_rolling_5,PF_rolling_5,OPP FG_rolling_5,OPP FGA_rolling_5,OPP FG%_rolling_5,OPP 3P_rolling_5,OPP 3PA_rolling_5,OPP 3P%_rolling_5,OPP FT_rolling_5,OPP FTA_rolling_5,OPP FT%_rolling_5,OPP ORB_rolling_5,OPP TRB_rolling_5,OPP AST_rolling_5,OPP STL_rolling_5,OPP BLK_rolling_5,OPP TOV_rolling_5,OPP PF_rolling_5
0,2019-11-05,8:00p,2019-2020,REG,Nicholls State,,False,Southland,0,-3.87,W,78,70,1,0,True,1,0,27,61,0.443,5,19,0.263,19,29,0.655,17,50,12,6,2,22,17,27,66,0.409,8,20,0.4,8,9,0.889,3,18,13,11,4,16,29,27.0,61.0,0.443,5.0,19.0,0.263,19.0,29.0,0.655,17.0,50.0,12.0,6.0,2.0,22.0,78.0,27.0,66.0,0.409,8.0,20.0,0.4,8.0,9.0,0.889,3.0,18.0,13.0,11.0,4.0,16.0,29.0
1,2019-11-08,9:00p,2019-2020,REG,Grand Canyon,,False,WAC,3,-6.32,W,83,71,2,0,False,2,0,29,64,0.453,4,13,0.308,21,30,0.7,16,46,13,5,0,17,21,27,61,0.443,8,19,0.421,9,16,0.563,6,23,12,4,0,11,23,28.0,62.5,0.448,4.5,16.0,0.2855,20.0,29.5,0.6775,16.5,48.0,12.5,5.5,1.0,19.5,80.5,27.0,63.5,0.426,8.0,19.5,0.4105,8.5,12.5,0.726,4.5,20.5,12.5,7.5,2.0,13.5,26.0
2,2019-11-10,9:00p,2019-2020,REG,Arizona,21.0,True,Pac-12,2,19.49,L,69,90,2,1,False,0,1,25,53,0.472,5,16,0.313,14,20,0.7,6,25,10,4,2,22,22,34,61,0.557,7,16,0.438,15,22,0.682,10,32,20,14,3,16,23,27.0,59.333333333333336,0.45599999999999996,4.666666666666667,16.0,0.2946666666666667,18.0,26.333333333333332,0.6849999999999999,13.0,40.333333333333336,11.666666666666666,5.0,1.3333333333333333,20.333333333333332,76.66666666666667,29.333333333333332,62.666666666666664,0.4696666666666667,7.666666666666667,18.333333333333332,0.41966666666666663,10.666666666666666,15.666666666666666,0.7113333333333333,6.333333333333333,24.333333333333332,15.0,9.666666666666666,2.3333333333333335,14.333333333333334,25.0
3,2019-11-18,8:00p,2019-2020,REG,Hawaii,,False,Big West,8,-1.27,W,66,53,3,1,True,1,0,23,54,0.426,5,12,0.417,15,23,0.652,10,43,14,3,3,15,8,24,64,0.375,3,22,0.136,2,3,0.667,4,25,9,7,2,9,18,26.0,58.0,0.4485,4.75,15.0,0.32525,17.25,25.5,0.67675,12.25,41.0,12.25,4.5,1.75,19.0,74.0,28.0,63.0,0.446,6.5,19.25,0.34875,8.5,12.5,0.70025,5.75,24.5,13.5,9.0,2.25,13.0,23.25
4,2019-11-20,9:00p,2019-2020,REG,The Citadel,,False,Southern,2,-13.82,W,85,57,4,1,True,2,0,33,68,0.485,3,18,0.167,16,21,0.762,21,53,17,4,4,13,13,21,74,0.284,10,38,0.263,5,7,0.714,15,27,10,8,2,11,19,27.4,60.0,0.4558,4.4,15.6,0.29359999999999997,17.0,24.6,0.6938,14.0,43.4,13.2,4.4,2.2,17.8,76.2,26.6,65.2,0.4136,7.2,23.0,0.3316,7.8,11.4,0.7030000000000001,7.6,25.0,12.8,8.8,2.2,12.6,22.4
5,2019-11-23,8:00p,2019-2020,REG,Hampton,,False,Big South,3,-12.02,W,120,71,5,1,True,3,0,45,70,0.643,8,18,0.444,22,27,0.815,13,41,29,9,1,9,14,28,64,0.438,6,16,0.375,9,14,0.643,7,19,12,3,0,16,21,31.0,61.8,0.4958,5.0,15.4,0.3298,17.6,24.2,0.7258,13.2,41.6,16.6,5.0,2.0,15.2,84.6,26.8,64.8,0.4194,6.8,22.2,0.3266,8.0,12.4,0.6538,8.4,25.2,12.6,7.2,1.4,12.6,20.8
6,2019-11-26,8:00p,2019-2020,REG,Lindenwood,,False,OVC,3,42.0,W,117,65,6,1,True,4,0,39,63,0.619,11,25,0.44,28,37,0.757,10,39,25,13,4,14,13,25,64,0.391,11,30,0.367,4,5,0.8,7,22,10,10,0,24,30,33.0,61.6,0.529,6.4,17.8,0.3562,19.0,25.6,0.7372,12.0,40.2,19.0,6.6,2.8,14.6,91.4,26.4,65.4,0.409,7.4,24.4,0.3158,7.0,10.2,0.7012,8.6,25.0,12.2,8.4,1.4,15.2,22.2
7,2019-12-02,7:00p,2019-2020,REG,Miami (FL),,False,ACC,6,6.63,L,79,81,6,2,True,0,1,28,53,0.528,6,17,0.353,17,23,0.739,8,30,16,4,4,13,17,32,54,0.593,10,18,0.556,7,13,0.538,4,21,9,7,2,10,21,33.6,61.6,0.5402,6.6,18.0,0.36419999999999997,19.6,26.2,0.7449999999999999,12.4,41.2,20.2,6.6,3.2,12.8,93.4,26.0,64.0,0.4162,8.0,24.8,0.33940000000000003,5.4,8.4,0.6724,7.4,22.8,10.0,7.0,1.2,14.0,21.8
8,2019-12-07,5:00p,2019-2020,REG,Maryland,3.0,True,Big Ten,5,17.82,L,58,59,6,3,False,0,2,22,56,0.393,3,14,0.214,11,16,0.688,8,36,10,5,1,13,17,21,63,0.333,8,31,0.258,9,11,0.818,12,38,12,6,4,11,17,33.4,62.0,0.5336000000000001,6.2,18.4,0.3236,18.8,24.8,0.7522,12.0,39.8,19.4,7.0,2.8,12.4,91.8,25.4,63.8,0.40780000000000005,9.0,26.6,0.3638,6.8,10.0,0.7026,9.0,25.4,10.6,6.8,1.6,14.4,21.6
9,2019-12-11,9:00p,2019-2020,REG,Michigan,5.0,True,Big Ten,4,17.94,W,71,62,7,3,True,1,0,28,61,0.459,1,11,0.091,14,20,0.7,11,37,6,5,6,12,10,27,62,0.435,3,18,0.167,5,6,0.833,5,24,12,6,5,8,18,32.4,60.6,0.5284,5.8,17.0,0.3084,18.4,24.6,0.7398,10.0,36.6,17.2,7.2,3.2,12.2,89.0,26.6,61.4,0.438,7.6,22.6,0.3446,6.8,9.8,0.7263999999999999,7.0,24.8,11.0,6.4,2.2,13.8,21.4
